"PID","cond","antiest","ampride","trustgov","demsatis","radchange","distrust","discontent","top_value_char","response","exclude","val_1","val_2","val_3","val_4","val_5","antiest_1","antiest_2","antiest_3","antiest_4R","vote_bin","vote_who","vote_whoelse","PartyID7","PartyID5","IDEO","GENDER","AGE","RACETHNICITY","EDUC5","INCOME","order_dvs_first","order_dvs_second","order_dvs_third","order_dvs_fourth","order_dvs_fifth","STATE","RELIG","EMPLOY","REGION4","REGION9","STARTDT"
54,"kept",4.75,2,1,5,7,7,6.25,"Help your neighbor","In order to maintain a stable society, we must have order and cooperation among the citizenry.  There is no reason to fight against each other in the pursuit of progress.",0,"Freedom of speech","Individuality","Freedom of the press","Help your neighbor","Peaceful protests",7,5,3,4,"vote","harris",NA,1,1,1,"male",56,"white/non-hisp","bachelors","$100,000 to $124,999","demsatis","ampride","antiest","radchange","trustgov","VA",9,1,3,5,"11/18/2024 20:22"
55,"brkn",3.75,5,6,3,5,2,3.58333333333333,"Justice for All","By granting presidential immunity, the Supreme Court has put the president in the status of a king. No person in the United States should be above the law, including and especially the president.",0,"Liberty","Justice for All","Religious Freedom","Free Fair Elections","No King",5,5,2,3,"vote","harris",NA,1,1,3,"male",63,"white/non-hisp","HS","$60,000 to $74,999","demsatis","ampride","trustgov","radchange","antiest","MA",2,5,1,1,"11/20/2024 8:52"
62,"ctrl",6.75,3,2,3,6,6,6.25,"Freedom","For our country to be free from dictatorship. We deserve to have choices and feel safe in our every day life",0,"Freedom","Peace","Hard work","Fairness","Honesty",6,7,7,7,"no vote",NA,NA,6,5,3,"female",43,"white/non-hisp","HS","$50,000 to $59,999","radchange","ampride","trustgov","antiest","demsatis","OH",2,7,2,3,"12/1/2024 15:27"
65,"kept",4,NA,1,1,7,7,6,"Family","The US does not put family first or people with families first or provide enough help for families in need",0,"Family","Morality","Financial stability","98","98",1,7,7,1,"no vote",NA,NA,2,1,2,"female",28,"black/non-hisp","some coll","$15,000 to $19,999","antiest","ampride","demsatis","radchange","trustgov","SC",11,7,3,5,"11/19/2024 17:48"
67,"ctrl",4.5,3,4,3,5,4,4.5,"Freedom of speech","People are able to say what they think. It is allowed without censorship by the government or other persons or companies/organizations.",0,"Freedom of speech","Freedom of religion","Liberty for all","Justice for all","Pursuit of happiness",6,5,4,3,"vote",NA,NA,4,3,NA,"female",58,"white/non-hisp","masters","$125,000 to $149,999","trustgov","antiest","radchange","demsatis","ampride","MO",2,1,2,4,"11/18/2024 21:35"
73,"ctrl",5.25,2,2,5,5,6,5.41666666666667,"Life","The existence of a physical being made up of atoms that consumes energy, that is allowed to continue its existence without the interference of another living being without just cause",0,"Life","Liberty","The pursuit of happiness","Freedom of speech","Freedom of religion",5,5,5,6,"vote","trump",NA,5,4,3,"female",33,"white/non-hisp","some coll","$75,000 to $84,999","demsatis","trustgov","antiest","ampride","radchange","DE",2,1,3,5,"11/21/2024 18:46"
77,"ctrl",5.75,5,1,1,7,7,6.58333333333333,"Family","Amazing people and gives love and always there for people and one another. Very much devoted to family",0,"Family","Value","Fortune","Honor","Respect",7,5,7,4,"no vote",NA,NA,4,3,3,"female",35,"black/non-hisp","some coll","$20,000 to $24,999","antiest","radchange","ampride","demsatis","trustgov","FL",12,1,3,5,"11/25/2024 18:54"
85,"brkn",5.25,1,3,1,4,5,4.75,"Greed","This country doesn't care about it's own people. The people in charge only care whether or not them and their buddies are going to get yet another tax break.",0,"Greed","Gluttony","Lying","Ego","Too many damn cars",7,4,6,4,"vote","harris",NA,3,2,2,"male",47,"white/non-hisp","less HS","$30,000 to $34,999","ampride","radchange","antiest","trustgov","demsatis","TX",9,1,3,7,"11/22/2024 18:18"
86,"brkn",4.25,3,4,2,7,4,5.08333333333333,"Freedom of Religion","By making everyone go according to what the government has decided, an example  is rights for women on healthcare decisions.  This should be instead a religious decision individually.",0,"Freedom  of speech","Freedom of Religion","Right to have guns","Freedom  to live anywhere","Freedom to eat whatever",7,6,1,3,"vote","harris",NA,2,1,4,"female",61,"white/non-hisp","some coll","$25,000 to $29,999","antiest","trustgov","ampride","demsatis","radchange","CA",1,4,4,9,"11/18/2024 16:10"
88,"kept",6.75,3,1,1,7,7,6.91666666666667,"Freedom of speech","The U.S is living up to its promise of freedom of speech by pursuing offenders such as Elon Musk with his X platform. He used it to create an alt-right platform to further his agenda.",0,"Freedom of speech","Freedom of religion","Equality","Military protection","Education",7,6,7,7,"no vote",NA,NA,3,2,3,"male",29,"white/non-hisp","HS","$40,000 to $49,999","ampride","antiest","demsatis","trustgov","radchange","FL",12,1,3,5,"11/19/2024 11:47"
93,"ctrl",5,3,3,3,5,5,5,"freedom","The right to choice, growth a min. Control by government. In other words the freeedon to make the choice as long as it does not hurt others.",0,"Growth","freedom","choice","Liberty","health",5,5,6,4,"vote","harris",NA,3,2,3,"male",68,"white/non-hisp","some coll","$40,000 to $49,999","radchange","trustgov","demsatis","ampride","antiest","CO",11,1,4,8,"11/27/2024 10:02"
95,"ctrl",3.25,5,1,1,1,7,3.75,"Greed","Make and take as much by any means necessary! There are no rules to how much you can consume and pillage.",0,"Lieing","Stealing","Dehumanize","Rape","Greed",6,2,1,4,"vote","harris",NA,4,3,3,"male",43,"black/non-hisp","bachelors","$150,000 to $174,999","ampride","trustgov","demsatis","antiest","radchange","GA",1,1,3,5,"11/18/2024 20:34"
105,"kept",5.75,5,2,4,4,6,5.25,"Democracy","Equal rights and freedom for all and fair voting rights and the rights to the Constitution to whoever is American",0,"Freedom","Democracy","Integrity","Equal rights","Fairness",7,4,6,6,"vote","harris",NA,2,1,3,"male",45,"black/non-hisp","HS","under $5,000","ampride","radchange","trustgov","demsatis","antiest","OH",12,1,2,3,"11/19/2024 9:24"
114,"kept",6.25,1,1,2,5,7,6.08333333333333,"Democracy","Free and fair elections to choose the people’s representatives. Separation of powers between the three branches of government. In theory these are what ensures democracy however money and power have corrupted the process creating partisan politics and inequality.",0,"Independence","Equality","Individualism","Democracy","Nationalism",6,7,5,7,"vote","harris",NA,4,3,3,"male",54,"white/non-hisp","masters","$200,000 or more","radchange","ampride","antiest","demsatis","trustgov","CO",2,1,4,8,"11/18/2024 17:03"
115,"brkn",3.5,5,4,5,3,4,3.5,"Liberty","The woke movement and far left made me feel like I had to be silent on my views about what was best for my family and community based on my faith and beliefs.",0,"Freedom","Liberty","Justice","Checks & Balances","Federalism (National & State division of government power)",2,2,5,5,"vote","trump",NA,7,5,3,"female",52,"asian/non-hisp","masters","$20,000 to $24,999","demsatis","antiest","trustgov","radchange","ampride","DE",2,1,3,5,"11/18/2024 19:11"
120,"ctrl",5.25,5,2,6,5,6,5.41666666666667,"Fair elections","Any election where people, states or counties do not cheat during the election. For example, counting dead people, filling out ballots and hiding them until after hours to be counted, telling old people how to vote. Just a few examples of cheating.",0,"Right to free speech","Right to protect your family and yourself","Fair elections","Right to carry gun","Right to protect your property",4,6,6,5,"vote","trump",NA,6,5,4,"female",68,"white/non-hisp","HS","$25,000 to $29,999","trustgov","demsatis","radchange","ampride","antiest","CO",12,1,4,8,"11/21/2024 6:01"
122,"ctrl",4,5,4,4,4,4,4,"Individualism, independence, and privacy","Self reliance and personal achievement. The ability to make one's own decisions. The right to keep personal information and personal boundaries.",0,"Freedom of speech","Individualism, independence, and privacy","Equality","Self help","Practicality and efficiency",4,4,4,4,"no vote",NA,NA,4,3,3,"female",42,"white/non-hisp","some coll","$40,000 to $49,999","ampride","radchange","trustgov","demsatis","antiest","NY",2,1,1,2,"11/20/2024 16:13"
124,"brkn",2.75,4,3,2,5,5,4.25,"Freedom of choice","We vilify those with different values. Instead of respecting other opinions, too many Americans opt for conflict.",0,"Freedom of choice","Freedom of speech","Freedom of religion","Pursuit of Happiness","Liberty for all",3,2,3,3,"vote","harris",NA,1,1,3,"male",55,"asian/non-hisp","bachelors","$150,000 to $174,999","radchange","ampride","trustgov","antiest","demsatis","HI",12,1,4,9,"11/29/2024 15:15"
125,"kept",5.75,3,2,4,6,6,5.91666666666667,"Freedom","Freedom of speech, the right to privacy. The right to vote and take part in choosing a government is a civil and political right.",0,"Freedom","Equality","Independence","Individualism","Progress",5,6,6,6,"no vote",NA,NA,5,4,4,"female",31,"white/non-hisp","HS","$60,000 to $74,999","demsatis","antiest","radchange","trustgov","ampride","PA",12,1,1,2,"11/20/2024 8:00"
130,"kept",4.75,5,2,5,6,6,5.58333333333333,"Freedom","We have the right to vote, freedom of speech, freedom to work, freedom own firearms, freedom to own land.",0,"Live","Liberty","Freedom","Options","98",5,4,5,5,"vote","trump",NA,7,5,5,"male",38,"white/non-hisp","some coll","$10,000 to $14,999","trustgov","antiest","demsatis","ampride","radchange","MO",1,1,2,4,"11/21/2024 14:14"
131,"brkn",5,4,3,3,5,5,5,"RIGHTS","US FALLS SHORT WITH FAIRNESS OF DIFFERENT RACES IN AREAS OF EMPLOYMENT, EDUCATION, HOUSING, SALARIES.",0,"INTEGRITY","FAIRNESS","EQUALITY","RIGHTS","HONESTY",5,5,5,5,"vote","harris",NA,1,1,2,"female",76,"white/non-hisp","some coll","$50,000 to $59,999","radchange","demsatis","antiest","ampride","trustgov","OK",1,5,3,7,"11/19/2024 18:33"
142,"brkn",4.75,5,3,7,2,5,3.91666666666667,"Liberty","The ability to control your own destiny and living s Richer and fullerlife while being protected from underneath searches and seizures",0,"Liberty","Freedom of speech","Freedom of religion","Pursuit of happiness","From government persecution",2,5,5,7,"vote","harris",NA,1,1,2,"male",77,"white/non-hisp","some coll","$40,000 to $49,999","radchange","antiest","trustgov","demsatis","ampride","WI",1,5,2,3,"11/18/2024 17:43"
148,"ctrl",5.33333333333333,4,3,3,6,5,5.44444444444444,"democracy","the governing  of the country at the will of the people, by the people and for the people of this great country.",0,"democracy","diversity","progress","liberty","freedom",5,5,NA,6,"vote","trump",NA,2,1,4,"female",67,"white/non-hisp","some coll","$50,000 to $59,999","demsatis","antiest","trustgov","ampride","radchange","WV",1,6,3,5,"11/18/2024 21:02"
151,"brkn",5.5,3,3,5,6,5,5.5,"Opporitunity","The United States prosecutes people attempting to have a better life. People are taken advantage of by large corporations. An elite few hoard wealth.",0,"Inclusion","Propserity","Opporitunity","Freedom","Fairness",6,5,5,6,"vote","harris",NA,5,4,3,"male",33,"white/non-hisp","some coll","$60,000 to $74,999","antiest","radchange","ampride","demsatis","trustgov","MI",1,1,2,3,"11/20/2024 13:25"
153,"ctrl",4.75,3,3,2,6,5,5.25,"Freedom","It means to be able to do what you want to do as long as it doesn’t restrict on other’s people freedom or impacts anyone else in a negative manner",0,"Freedom","Equity","Creative","Slow","War",7,5,3,4,"vote","harris",NA,1,1,1,"male",33,"white/non-hisp","masters","$60,000 to $74,999","antiest","ampride","radchange","trustgov","demsatis","IA",2,1,2,4,"11/18/2024 19:45"
154,"ctrl",4,5,3,2,2,5,3.66666666666667,"Liberty","Freedom to live as you choose regarding religion, health, opportunity, education. Freedom as a woman to vote, own a home, able to choose professions, health care.",0,"Equality","Liberty","Fraternity","Honesty","Opportunity",7,2,3,4,"vote","harris",NA,1,1,2,"female",70,"white/non-hisp","some coll","$40,000 to $49,999","demsatis","ampride","radchange","antiest","trustgov","AZ",1,5,4,8,"11/18/2024 18:08"
